SkillIndex,SkillName,SkillType,CategoryKey,SkillPower,SkillAccuary,SkillPP
301,아이스볼,Ice,Physical,30,90,20
302,바늘팔,Grass,Physical,60,100,15
303,태만함,Normal,Status,0,100,10
304,하이퍼보이스,Normal,Special,90,100,10
305,독엄니,Poison,Physical,50,100,15
306,브레이크크루,Normal,Physical,75,95,10
307,블러스트번,Fire,Special,150,90,5
308,하이드로캐논,Water,Special,150,90,5
309,코멧펀치,Steel,Physical,100,85,10
310,놀래키기,Ghost,Physical,30,100,15
311,웨더볼,Normal,Special,50,100,10
312,아로마테라피,Grass,Status,0,0,5
313,거짓울음,Dark,Status,0,100,20
314,에어컷터,Flying,Special,60,95,25
315,오버히트,Fire,Special,130,90,5
316,냄새구별,Normal,Status,0,100,40
317,암석봉인,Rock,Physical,60,80,10
318,은빛바람,Bug,Special,60,100,5
319,금속음,Steel,Status,0,85,40
320,풀피리,Grass,Status,0,55,15
321,간지르기,Normal,Status,0,100,20
322,코스믹파워,Psychic,Status,0,0,20
323,해수스파우팅,Water,Special,0,100,5
324,시그널빔,Bug,Special,75,100,15
325,섀도펀치,Ghost,Physical,60,0,20
326,신통력,Psychic,Special,80,100,30
327,스카이업퍼,Fighting,Physical,85,90,15
328,모래지옥,Ground,Physical,35,85,15
329,절대영도,Ice,Special,0,0,5
330,탁류,Water,Special,95,85,10
331,기관총,Grass,Physical,25,100,30
332,제비반환,Flying,Physical,60,0,20
333,고드름침,Ice,Physical,25,100,30
334,철벽,Steel,Status,0,0,15
335,블록,Normal,Status,0,100,5
336,멀리짖음,Normal,Status,0,0,40
337,드래곤크루,Dragon,Physical,80,100,15
338,하드플랜트,Grass,Special,150,90,5
339,벌크업,Fighting,Status,0,0,20
340,뛰어오르다,Flying,Physical,85,85,5
341,머드숏,Ground,Special,55,95,15
342,포이즌테일,Poison,Physical,50,100,25
343,탐내다,Normal,Physical,60,100,40
344,볼트태클,Electric,Physical,120,100,15
345,메지컬리프,Grass,Special,60,0,20
346,물놀이,Water,Status,0,100,15
347,명상,Psychic,Status,0,0,20
348,리프블레이드,Grass,Physical,90,100,15
349,용의춤,Dragon,Status,0,0,20
350,락블레스트,Rock,Physical,25,90,10
351,전격파,Electric,Special,60,0,20
352,물의파동,Water,Special,60,100,20
353,파멸의소원,Steel,Special,140,100,5
354,사이코부스트,Psychic,Special,140,90,5
355,날개쉬기,Flying,Status,0,0,10
356,중력,Psychic,Status,0,0,5
357,미라클아이,Psychic,Status,0,0,40
358,잠깨움뺨치기,Fighting,Physical,60,100,10
359,암해머,Fighting,Physical,100,90,10
360,자이로볼,Steel,Physical,0,100,5
361,치유소원,Psychic,Status,0,0,10
362,소금물,Water,Special,65,100,10
363,자연의은혜,Normal,Physical,0,100,15
364,페인트,Normal,Physical,30,100,10
365,쪼아대기,Flying,Physical,60,100,20
366,순풍,Flying,Status,0,0,30
367,경혈찌르기,Normal,Status,0,0,30
368,메탈버스트,Steel,Physical,0,100,10
369,유턴,Bug,Physical,70,100,20
370,인파이트,Fighting,Physical,120,100,5
371,보복,Dark,Physical,50,100,10
372,승부굳히기,Dark,Physical,50,100,10
373,금제,Dark,Status,0,100,15
374,내던지기,Dark,Physical,0,100,10
375,사이코시프트,Psychic,Status,0,90,10
376,마지막수단,Normal,Special,0,0,5
377,회복봉인,Psychic,Status,0,100,15
378,쥐어짜기,Normal,Special,0,100,5
379,파워트릭,Psychic,Status,0,0,10
380,위액,Poison,Status,0,100,10
381,주술,Normal,Status,0,0,30
382,선취,Normal,Status,0,0,20
383,흉내쟁이,Normal,Status,0,0,20
384,파워스웹,Psychic,Status,0,0,10
385,가드스웹,Psychic,Status,0,0,10
386,혼내기,Dark,Physical,0,100,5
387,뒀다쓰기,Normal,Physical,140,100,5
388,고민씨,Grass,Status,0,100,10
389,기습,Dark,Physical,80,100,5
390,독압정,Poison,Status,0,0,20
391,하트스웹,Psychic,Status,0,0,10
392,아쿠아링,Water,Status,0,0,20
393,전자부유,Electric,Status,0,0,10
394,플레어드라이브,Fire,Physical,120,100,15
395,발경,Fighting,Physical,60,100,10
396,파동탄,Fighting,Special,80,0,20
397,록커트,Rock,Status,0,0,20
398,독찌르기,Poison,Physical,80,100,20
399,악의파동,Dark,Special,80,100,15
400,깜짝베기,Dark,Physical,70,100,15
