SkillIndex,SkillName,SkillType,CategoryKey,SkillPower,SkillAccuary,SkillPP
201,모래바람,Rock,Status,0,0,10
202,기가드레인,Grass,Special,75,100,10
203,버티기,Normal,Status,0,0,10
204,애교부리기,Fairy,Status,0,100,20
205,구르기,Rock,Physical,30,90,20
206,칼등치기,Normal,Physical,40,100,40
207,뽐내기,Normal,Status,0,90,15
208,우유마시기,Normal,Status,0,0,10
209,스파크,Electric,Physical,65,100,20
210,연속자르기,Bug,Physical,20,95,20
211,강철날개,Steel,Physical,70,90,25
212,검은눈빛,Normal,Status,0,100,5
213,헤롱헤롱,Normal,Status,0,100,15
214,잠꼬대,Normal,Status,0,0,10
215,치료방울,Normal,Status,0,0,5
216,은혜갚기,Normal,Physical,0,100,20
217,프레젠트,Normal,Physical,0,90,15
218,화풀이,Normal,Physical,0,100,20
219,신비의부적,Normal,Status,0,0,25
220,아픔나누기,Normal,Status,0,100,20
221,성스러운불꽃,Fire,Physical,100,95,5
222,매그니튜드,Ground,Physical,0,100,30
223,폭발펀치,Fighting,Physical,100,50,5
224,메가폰,Bug,Physical,120,85,10
225,용의숨결,Dragon,Special,60,100,20
226,바톤터치,Normal,Status,0,0,40
227,앵콜,Normal,Status,0,100,5
228,따라가때리기,Dark,Physical,40,100,20
229,고속스핀,Normal,Physical,20,100,40
230,달콤한향기,Normal,Status,0,100,20
231,아이언테일,Steel,Physical,100,75,15
232,메탈크로우,Steel,Physical,50,95,35
233,받아던지기,Fighting,Physical,70,100,10
234,아침햇살,Normal,Status,0,0,5
235,광합성,Grass,Status,0,0,5
236,달의불빛,Normal,Status,0,0,5
237,잠재파워,Normal,Special,60,100,15
238,크로스촙,Fighting,Physical,100,80,5
239,회오리,Dragon,Special,40,100,20
240,비바라기,Water,Status,0,0,5
241,쾌청,Fire,Status,0,0,5
242,깨물어부수기,Dark,Physical,80,100,15
243,미러코트,Psychic,Special,0,100,20
244,자기암시,Normal,Status,0,0,10
245,신속,Normal,Physical,80,100,5
246,원시의힘,Rock,Special,60,100,5
247,섀도볼,Ghost,Special,80,100,15
248,미래예지,Psychic,Special,100,100,10
249,바위깨기,Fighting,Physical,40,100,15
250,바다회오리,Water,Special,35,85,15
251,집단구타,Dark,Physical,0,100,10
252,속이다,Normal,Physical,40,100,10
253,소란피기,Normal,Special,90,100,10
254,비축하기,Normal,Status,0,0,20
255,토해내기,Normal,Special,0,100,10
256,꿀꺽,Normal,Status,0,0,10
257,열풍,Fire,Special,95,90,10
258,싸라기눈,Ice,Status,0,0,10
259,트집,Dark,Status,0,100,15
260,부추기기,Dark,Status,0,100,15
261,도깨비불,Fire,Status,0,75,15
262,추억의선물,Dark,Status,0,100,10
263,객기,Normal,Physical,70,100,20
264,힘껏펀치,Fighting,Physical,150,100,20
265,정신차리기,Normal,Physical,60,100,10
266,날따름,Normal,Status,0,100,20
267,자연의힘,Normal,Status,0,0,20
268,충전,Electric,Status,0,0,20
269,도발,Dark,Status,0,100,20
270,도우미,Normal,Status,0,0,20
271,트릭,Psychic,Status,0,100,10
272,역할,Psychic,Status,0,0,10
273,희망사항,Normal,Status,0,0,10
274,조수,Normal,Status,0,0,20
275,뿌리박기,Grass,Status,0,0,20
276,엄청난힘,Fighting,Physical,120,100,5
277,매직코트,Psychic,Status,0,0,15
278,리사이클,Normal,Status,0,100,10
279,리벤지,Fighting,Physical,60,100,10
280,깨트리다,Fighting,Physical,75,100,15
281,하품,Normal,Status,0,100,10
282,탁쳐서떨구기,Dark,Physical,65,100,20
283,죽기살기,Normal,Physical,0,100,5
284,분화,Fire,Special,0,100,5
285,스킬스웹,Psychic,Status,0,100,10
286,봉인,Psychic,Status,0,100,10
287,리프레쉬,Normal,Status,0,100,20
288,원념,Ghost,Status,0,100,5
289,가로챔,Dark,Status,0,100,10
290,비밀의힘,Normal,Physical,70,100,20
291,다이빙,Water,Physical,80,100,10
292,손바닥치기,Fighting,Physical,15,100,20
293,보호색,Normal,Status,0,100,20
294,반딧불,Bug,Status,0,100,20
295,라스트버지,Psychic,Special,70,100,5
296,미스트볼,Psychic,Special,70,100,5
297,깃털댄스,Flying,Status,0,100,15
298,흔들흔들댄스,Normal,Status,0,100,20
299,브레이즈킥,Fire,Physical,85,90,10
300,흙놀이,Ground,Status,0,100,15
