SkillIndex,SkillName,SkillType,CategoryKey,SkillPower,SkillAccuary,SkillPP
101,나이트헤드,Ghost,Special,0,100,15
102,흉내내기,Normal,Status,0,0,10
103,싫은소리,Normal,Status,0,85,40
104,그림자분신,Normal,Status,0,0,15
105,HP회복,Normal,Status,0,0,10
106,단단해지기,Normal,Status,0,0,30
107,작아지기,Normal,Status,0,0,10
108,연막,Normal,Status,0,100,20
109,이상한빛,Ghost,Status,0,100,10
110,껍질에숨기,Water,Status,0,0,40
111,웅크리기,Normal,Status,0,0,40
112,배리어,Psychic,Status,0,0,20
113,빛의장막,Psychic,Status,0,0,30
114,흑안개,Ice,Status,0,0,30
115,리플렉터,Psychic,Status,0,0,20
116,기충전,Normal,Status,0,0,30
117,참기,Normal,Physical,0,0,10
118,손가락흔들기,Normal,Status,0,0,10
119,따라하기,Flying,Status,0,0,20
120,자폭,Normal,Physical,200,100,5
121,알폭탄,Normal,Physical,100,75,10
122,핥기,Ghost,Physical,30,100,30
123,스모그,Poison,Special,30,70,20
124,오물공격,Poison,Special,65,100,20
125,뼈다귀치기,Ground,Physical,65,85,20
126,불대문자,Fire,Special,110,85,5
127,폭포오르기,Water,Physical,80,100,15
128,껍질끼우기,Water,Physical,35,85,15
129,스피드스타,Normal,Special,60,0,20
130,로케트박치기,Normal,Physical,130,100,10
131,가시대포,Normal,Physical,20,100,15
132,휘감기,Normal,Physical,10,100,35
133,망각술,Psychic,Status,0,0,20
134,숟가락휘기,Psychic,Status,0,80,15
135,알낳기,Normal,Status,0,0,10
136,무릎차기,Fighting,Physical,130,90,10
137,뱀눈초리,Normal,Status,0,100,30
138,꿈먹기,Psychic,Special,100,100,15
139,독가스,Poison,Status,0,90,40
140,구슬던지기,Normal,Physical,15,85,20
141,흡혈,Bug,Physical,80,100,10
142,악마의키스,Normal,Status,0,75,10
143,불새,Flying,Physical,140,90,5
144,변신,Normal,Status,0,0,10
145,거품,Water,Special,40,100,30
146,잼잼펀치,Normal,Physical,70,100,10
147,버섯포자,Grass,Status,0,100,15
148,플래시,Normal,Status,0,100,20
149,사이코웨이브,Psychic,Special,0,100,15
150,튀어오르기,Normal,Status,0,0,40
151,녹기,Poison,Status,0,0,20
152,찝게햄머,Water,Physical,100,90,10
153,대폭발,Normal,Physical,250,100,5
154,마구할퀴기,Normal,Physical,18,80,15
155,뼈다귀부메랑,Ground,Physical,50,90,10
156,잠자기,Psychic,Status,0,0,10
157,스톤샤워,Rock,Physical,75,90,10
158,필살앞니,Normal,Physical,80,90,15
159,각지기,Normal,Status,0,0,30
160,텍스처,Normal,Status,0,0,30
161,트라이어택,Normal,Special,80,100,10
162,분노의앞니,Normal,Physical,0,90,10
163,베어가르기,Normal,Physical,70,100,20
164,대타출동,Normal,Status,0,0,10
165,발버둥,Normal,Physical,50,0,1
166,스케치,Normal,Status,0,0,1
167,트리플킥,Fighting,Physical,10,90,10
168,도둑질,Dark,Physical,60,100,25
169,거미집,Bug,Status,0,0,10
170,마음의눈,Normal,Status,0,0,5
171,악몽,Ghost,Status,0,100,15
172,화염자동차,Fire,Physical,60,100,25
173,코골기,Normal,Special,50,100,15
174,저주,Ghost,Status,0,0,10
175,바둥바둥,Normal,Physical,0,100,15
176,텍스처2,Normal,Status,0,0,30
177,에어로블라스트,Flying,Special,100,95,5
178,목화포자,Grass,Status,0,100,40
179,기사회생,Fighting,Physical,0,100,15
180,원한,Ghost,Status,0,100,10
181,눈싸라기,Ice,Special,40,100,25
182,방어,Normal,Status,0,0,10
183,마하펀치,Fighting,Physical,40,100,30
184,겁나는얼굴,Normal,Status,0,100,10
185,속여때리기,Dark,Physical,60,0,20
186,천사의키스,Normal,Status,0,75,10
187,배북,Normal,Status,0,0,10
188,오물폭탄,Poison,Special,90,100,10
189,진흙뿌리기,Ground,Special,20,100,10
190,대포무노포,Water,Special,65,85,10
191,압정뿌리기,Ground,Status,0,0,20
192,전자포,Electric,Special,120,50,5
193,꿰뚫어보기,Normal,Status,0,100,40
194,길동무,Ghost,Status,0,0,5
195,멸망의노래,Normal,Status,0,0,5
196,얼다바람,Ice,Special,55,95,15
197,판별,Fighting,Status,0,0,5
198,본러쉬,Ground,Physical,25,90,10
199,록온,Normal,Status,0,100,5
200,역린,Dragon,Physical,120,100,15
