SkillIndex,SkillName,SkillType,CategoryKey,SkillPower,SkillAccuary,SkillPP
601,지오컨트롤,Fairy,Status,0,0,10
602,자기장조작,Electric,Status,0,0,20
603,해피타임,Normal,Status,0,0,30
604,일렉트릭필드,Electric,Status,0,0,10
605,매지컬샤인,Fairy,Special,80,100,10
606,축하,Normal,Status,0,0,40
607,손에손잡기,Normal,Status,0,0,40
608,초롱초롱눈동자,Fairy,Status,0,100,30
609,볼부비부비,Electric,Physical,20,100,20
610,적당히손봐주기,Normal,Physical,40,100,40
611,엉겨붙기,Bug,Special,20,100,20
612,그로우펀치,Fighting,Physical,40,100,20
613,데스윙,Flying,Special,80,100,10
614,사우전드애로,Ground,Physical,90,100,10
615,사우전드웨이브,Ground,Physical,90,100,10
616,그라운드포스,Ground,Physical,90,100,10
617,파멸의빛,Fairy,Special,140,90,5
618,근원의파동,Water,Special,110,85,10
619,단애의칼,Ground,Physical,120,85,10
620,화룡점정,Flying,Physical,120,100,5
621,다른차원러시,Dark,Physical,100,0,5
622,울트라대시어택,Normal,Physical,0,0,1
623,울트라대시어택,Normal,Special,0,0,1
624,전력무쌍격렬권,Fighting,Physical,0,0,1
625,전력무쌍격렬권,Fighting,Special,0,0,1
626,파이널다이브클래시,Flying,Physical,0,0,1
627,파이널다이브클래시,Flying,Special,0,0,1
628,애시드포이즌딜리트,Poison,Physical,0,0,1
629,애시드포이즌딜리트,Poison,Special,0,0,1
630,라이징랜드오버,Ground,Physical,0,0,1
631,라이징랜드오버,Ground,Special,0,0,1
632,월즈엔드폴,Rock,Physical,0,0,1
633,월즈엔드폴,Rock,Special,0,0,1
634,절대포식회전참,Bug,Physical,0,0,1
635,절대포식회전참,Bug,Special,0,0,1
636,무한암야로의유인,Ghost,Physical,0,0,1
637,무한암야로의유인,Ghost,Special,0,0,1
638,초월나선연격,Steel,Physical,0,0,1
639,초월나선연격,Steel,Special,0,0,1
640,다이내믹풀플레임,Fire,Physical,0,0,1
641,다이내믹풀플레임,Fire,Special,0,0,1
642,슈퍼아쿠아토네이도,Water,Physical,0,0,1
643,슈퍼아쿠아토네이도,Water,Special,0,0,1
644,블룸샤인엑스트라,Grass,Physical,0,0,1
645,블룸샤인엑스트라,Grass,Special,0,0,1
646,스파킹기가볼트,Electric,Physical,0,0,1
647,스파킹기가볼트,Electric,Special,0,0,1
648,맥시멈사이브레이커,Psychic,Physical,0,0,1
649,맥시멈사이브레이커,Psychic,Special,0,0,1
650,레이징지오프리즈,Ice,Physical,0,0,1
651,레이징지오프리즈,Ice,Special,0,0,1
652,얼티메이트드래곤번,Dragon,Physical,0,0,1
653,얼티메이트드래곤번,Dragon,Special,0,0,1
654,블랙홀이클립스,Dark,Physical,0,0,1
655,블랙홀이클립스,Dark,Special,0,0,1
656,러블리스타임팩트,Fairy,Physical,0,0,1
657,러블리스타임팩트,Fairy,Special,0,0,1
658,필살피카슛,Electric,Physical,210,0,1
659,모래모으기,Ground,Status,0,0,10
660,만나자마자,Bug,Physical,90,100,10
661,토치카,Poison,Status,0,0,10
662,그림자꿰매기,Ghost,Physical,80,100,10
663,DD래리어트,Dark,Physical,85,100,10
664,물거품아리아,Water,Special,90,100,10
665,아이스해머,Ice,Physical,100,90,10
666,플라워힐,Fairy,Status,0,0,10
667,10만마력,Ground,Physical,95,95,10
668,힘흡수,Grass,Status,0,100,10
669,솔라블레이드,Grass,Physical,125,100,10
670,나뭇잎,Grass,Physical,40,100,40
671,스포트라이트,Normal,Status,0,0,15
672,독실,Poison,Status,0,100,20
673,예민해지기,Normal,Status,0,0,30
674,어시스트기어,Steel,Status,0,0,20
675,지옥찌르기,Dark,Physical,80,100,15
676,꽃가루경단,Bug,Special,90,100,15
677,앵커숏,Steel,Physical,80,100,20
678,사이코필드,Psychic,Status,0,0,10
679,덤벼들기,Bug,Physical,80,100,15
680,불꽃채찍,Fire,Physical,80,100,15
681,기어오르기,Dark,Physical,20,100,10
682,불사르기,Fire,Special,130,100,5
683,스피드스웹,Psychic,Status,0,0,10
684,스마트호른,Steel,Physical,70,0,10
685,정화,Poison,Status,0,0,20
686,잠재댄스,Normal,Special,90,100,15
687,코어퍼니셔,Dragon,Special,100,100,10
688,트로피컬킥,Grass,Physical,70,100,15
689,지휘,Psychic,Status,0,0,15
690,부리캐논,Flying,Physical,100,100,15
691,스케일노이즈,Dragon,Special,110,100,5
692,드래곤해머,Dragon,Physical,90,100,15
693,세차게휘두르기,Dark,Physical,60,100,20
694,오로라베일,Ice,Status,0,0,20
695,섀도애로우즈스트라이크,Ghost,Physical,180,0,1
696,하이퍼다크크러셔,Dark,Physical,180,0,1
697,바다의심포니,Water,Special,195,0,1
698,알로라의수호자,Fairy,Special,0,0,1
699,칠성탈혼퇴,Ghost,Physical,195,0,1
700,라이트닝서프라이드,Electric,Special,175,0,1
