SkillIndex,SkillName,SkillType,CategoryKey,SkillPower,SkillAccuary,SkillPP
501,퍼스트가드,Fighting,Status,0,0,15
502,사이드체인지,Psychic,Status,0,0,15
503,열탕,Water,Special,80,100,15
504,껍질깨기,Normal,Status,0,0,15
505,치유의파동,Psychic,Status,0,0,10
506,병상첨병,Ghost,Special,65,100,10
507,프리폴,Flying,Physical,60,100,10
508,기어체인지,Steel,Status,0,0,10
509,배대뒤치기,Fighting,Physical,60,90,10
510,불태우기,Fire,Special,60,100,15
511,순서미루기,Dark,Status,0,100,15
512,애크러뱃,Flying,Physical,55,100,15
513,미러타입,Normal,Status,0,0,15
514,원수갚기,Normal,Physical,70,100,5
515,목숨걸기,Fighting,Special,0,100,5
516,기프트패스,Normal,Status,0,0,15
517,연옥,Fire,Special,100,50,5
518,물의맹세,Water,Special,80,100,10
519,불꽃의맹세,Fire,Special,80,100,10
520,풀의맹세,Grass,Special,80,100,10
521,볼트체인지,Electric,Special,70,100,20
522,벌레의저항,Bug,Special,60,100,20
523,땅고르기,Ground,Physical,60,100,20
524,얼음숨결,Ice,Special,60,90,10
525,드래곤테일,Dragon,Physical,60,90,10
526,분발,Normal,Status,0,0,30
527,일렉트릭네트,Electric,Special,55,95,15
528,와일드볼트,Electric,Physical,90,100,15
529,드릴라이너,Ground,Physical,80,95,10
530,더블촙,Dragon,Physical,40,90,15
531,하트스탬프,Psychic,Physical,60,100,25
532,우드호른,Grass,Physical,75,100,10
533,성스러운칼,Fighting,Physical,90,100,15
534,셸블레이드,Water,Physical,75,95,10
535,히트스탬프,Fire,Physical,0,100,10
536,그래스믹서,Grass,Special,65,90,10
537,하드롤러,Bug,Physical,65,100,20
538,코튼가드,Grass,Status,0,0,10
539,나이트버스트,Dark,Special,85,95,10
540,사이코브레이크,Psychic,Special,100,100,10
541,스위프뺨치기,Normal,Physical,25,85,10
542,폭풍,Flying,Special,110,70,10
543,아프로브레이크,Normal,Physical,120,100,15
544,기어소서,Steel,Physical,50,85,15
545,화염탄,Fire,Special,100,100,5
546,테크노버스터,Normal,Special,120,100,5
547,옛노래,Normal,Special,75,100,10
548,신비의칼,Fighting,Special,85,100,10
549,얼다세계,Ice,Special,65,95,10
550,뇌격,Electric,Physical,130,85,5
551,푸른불꽃,Fire,Special,130,85,5
552,불꽃춤,Fire,Special,80,100,10
553,프리즈볼트,Ice,Physical,140,90,5
554,콜드플레어,Ice,Special,140,90,5
555,바크아웃,Dark,Special,55,95,15
556,고드름떨구기,Ice,Physical,85,90,10
557,V제너레이트,Fire,Physical,180,95,5
558,크로스플레임,Fire,Special,100,100,5
559,크로스썬더,Electric,Physical,100,100,5
560,플라잉프레스,Fighting,Physical,80,95,10
561,마룻바닥세워막기,Fighting,Status,0,0,10
562,트림,Poison,Special,120,90,10
563,일구기,Ground,Status,0,0,10
564,끈적끈적네트,Bug,Status,0,0,20
565,마지막일침,Bug,Physical,30,100,25
566,고스트다이브,Ghost,Physical,90,100,10
567,핼러윈,Ghost,Status,0,100,20
568,부르짖기,Normal,Status,0,100,30
569,플라스마샤워,Electric,Status,0,0,25
570,파라볼라차지,Electric,Special,50,100,20
571,숲의저주,Grass,Status,0,100,20
572,꽃보라,Grass,Physical,90,100,15
573,프리즈드라이,Ice,Special,70,100,20
574,차밍보이스,Fairy,Special,40,0,15
575,막말내뱉기,Dark,Status,0,100,20
576,뒤집어엎기,Dark,Status,0,100,20
577,드레인키스,Fairy,Special,50,100,10
578,트릭가드,Fairy,Status,0,0,10
579,플라워가드,Fairy,Status,0,0,10
580,그래스필드,Grass,Status,0,0,10
581,미스트필드,Fairy,Status,0,0,10
582,송전,Electric,Status,0,0,15
583,치근거리기,Fairy,Physical,90,90,10
584,요정의바람,Fairy,Special,40,100,30
585,문포스,Fairy,Special,95,100,15
586,폭음파,Normal,Special,140,100,10
587,페어리록,Fairy,Status,0,0,10
588,킹실드,Steel,Status,0,0,10
589,친해지기,Normal,Status,0,0,20
590,비밀이야기,Normal,Status,0,0,20
591,다이아스톰,Rock,Physical,100,95,5
592,스팀버스트,Water,Special,110,95,5
593,다른차원홀,Psychic,Special,80,0,5
594,물수리검,Water,Physical,15,100,20
595,매지컬플레임,Fire,Special,65,100,10
596,니들가드,Grass,Status,0,0,10
597,아로마미스트,Fairy,Status,0,0,20
598,괴전파,Electric,Status,0,100,15
599,베놈트랩,Poison,Status,0,100,20
600,분진,Bug,Status,0,100,20
